case_id,name,category,split,chain,tx_hash,date,loss,complexity,benchmark_calls,benchmark_max_depth,benchmark_cause,gt_vuln_contracts,gt_vuln_functions
C01,Templedao,access_control,dev,eth,0x8c3f442fc6d640a6ff3ea0b12be64f1d4609ea94edd2966f42c01cd9bdcf04b5,2022-10-11,$2.3 million,Complex,10,4,Insufficient access control,0xd2869042e12a3506100af1d192b5b04d65137941,migrateStake
C02,Paraswap,access_control,test,eth,0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,2024-03-19,~24K,Complex,18,6,Incorrect Access Control,0x6a7eff1e2c355ad6eb91bebb5ded49257f3fed98,transferfrom
C03,Melo,access_control,test,bsc,0x3f1973fe56de5ecd59a815d3b14741cf48385903b0ccfe248f7f10c2765061f7,2023-05-06,~$90k,Complex,28,5,Access Control,0x9a1aef8c9ada4224ad774afdac07c24955c92a54,mint
C04,Uerii Token,access_control,test,eth,0xf4a3d0e01bbca6c114954d4a49503fc94dfdbc864bded5530b51a207640d86b5,2022-10-17,$2.4 k,Exceptionally Complex,56,7,Access Control,0x418c24191ae947a78c99fdc0e45a1f96afb254be,mint
C05,CowSwap,arbitrary_external_call,dev,eth,0x90b468608fbcc7faef46502b198471311baca3baab49242a4a85b73d4924379b,2023-02-07,~$120k,Moderate,12,4,Arbitrary External Call Vulnerability,0xcd07a7695e3372acd2b2077557de93e667b92bd8,envelope
C06,Seneca,arbitrary_external_call,test,eth,0x23fcf9d4517f7cc39815b09b0a80c023ab2c8196c826c93b4100f2e26b701286,2024-02-28,~6M,Moderate,6,4,Arbitrary External Call Vulnerability,0x45e15d1e4f92f28a916f4f2971ad9adc278e148b,performOperations
C07,ChaingeFinance,arbitrary_external_call,test,bsc,0x21d8b164f0cb8beb1ed27d164ed986c3fc26b33655ce18226b05b9cfcf6cd93c,2024-04-15,~560K,Complex,21,4,Arbitrary External Call,0x80a0d7a6fd2a22982ce282933b384568e5c852bf,swap
C08,Dexible,arbitrary_external_call,test,eth,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,2023-02-17,~$1.5M,Complex,69,8,Arbitrary External Call Vulnerability,0x33e690aea97e4ef25f0d140f1bf044d663091daf;0xde62e1b0edaa55aac5ffbe21984d321706418024,fill;selfSwap
C09,Umbrella Network,arithmetic,dev,eth,0x33479bcfbc792aa0f8103ab0d7a3784788b5b0e1467c81ffbed1b7682660b4fa,2022-03-20,,Complex,7,5,Underflow,0xb3fb1d01b07a706736ca175f827e4f56021b85de,withdraw
C10,Pandora,arithmetic,test,eth,0x7c5a909b45014e35ddb89697f6be38d08eff30e7c3d3d553033a6efc3b444fdd,2024-02-08,~17K USD,Exceptionally Complex,27,4,interger underflow,0xddadf1bf44363d07e750c20219c2347ed7d826b9,transferFrom
